"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Albania","Total renewable energy",1453.0000,1453.1000,1453.2000,1453.2000,1453.2000,1453.2000,1453.2000,1455.2000,1457.2000,1459.3000,1475.4000,1508.5640,1628.6790,1781.7580,1725.8740,1799.0500,1914.0000,2049.4250,2107.4250,2177.4250,2409.4250,2414.5250
"Albania","Hydropower",1453.0000,1453.0000,1453.0000,1453.0000,1453.0000,1453.0000,1453.0000,1455.0000,1457.0000,1459.0000,1475.0000,1508.0000,1628.0000,1781.0000,1725.0000,1798.0000,1913.0000,2047.0000,2105.0000,2162.0000,2387.0000,2387.0000
"Albania","Renewable hydropower",1453.0000,1453.0000,1453.0000,1453.0000,1453.0000,1453.0000,1453.0000,1455.0000,1457.0000,1459.0000,1475.0000,1508.0000,1628.0000,1781.0000,1725.0000,1798.0000,1913.0000,2047.0000,2105.0000,2162.0000,2387.0000,2387.0000
"Albania","Pumped storage",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Marine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Wind",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Onshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Offshore wind energy",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Solar",0.0000,0.1000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.3000,0.4000,0.5640,0.6790,0.7580,0.8740,1.0500,1.0000,1.0000,1.0000,14.0000,21.0000,26.1000
"Albania","Solar photovoltaic",0.0000,0.1000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,0.3000,0.4000,0.5640,0.6790,0.7580,0.8740,1.0500,1.0000,1.0000,1.0000,14.0000,21.0000,26.1000
"Albania","Concentrated solar power",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Bioenergy",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4250,1.4250,1.4250,1.4250,1.4250
"Albania","Solid biofuels",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4250,1.4250,1.4250,1.4250,1.4250
"Albania","Bagasse",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Renewable municipal waste",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4250,1.4250,1.4250,1.4250,1.4250
"Albania","Other solid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Liquid biofuels",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Biogas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Albania","Geothermal",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Andorra","Total renewable energy",30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,35.0000,35.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.0000,51.1860,51.2260,51.2440,51.4890,52.0900,52.9890,53.9270,54.8270
"Andorra","Hydropower",30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000
"Andorra","Renewable hydropower",30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000,46.0000
