"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"World","Total renewable energy",2845004.09,2787635.10,2881804.75,2906547.98,3117220.26,3274286.53,3428468.46,3531791.91,3752939.24,3887174.93,4184810.31,4390416.94,4744781.92,5028045.04,5309260.22,5505417.64,5883205.72,6211865.59,6590943.44,6955866.22,7468057.98
"World","Hydropower",2701014.62,2639228.72,2705493.75,2706398.46,2879743.69,2994481.59,3106588.27,3146060.55,3289734.56,3336891.58,3520014.62,3574252.75,3761958.15,3863805.22,3981100.39,3976617.45,4148385.79,4172902.98,4271010.60,4315801.76,4476230.46
"World","Renewable hydropower",2617799.58,2553804.07,2618365.99,2619311.03,2790789.39,2902436.34,3014374.89,3051226.22,3199246.33,3248950.90,3426120.16,3483839.06,3672906.62,3774665.54,3888623.29,3882384.13,4033724.90,4051500.47,4153059.11,4201334.57,4355935.03
"World","Pumped storage",83215.04,85424.65,87127.76,87087.43,88954.30,92045.25,92213.37,94834.33,90488.24,87940.68,93894.47,90413.70,89051.53,89139.68,92477.11,94233.32,114660.89,121402.52,117951.49,114467.20,120295.43
"World","Marine",545.89,523.54,533.07,529.98,507.79,515.51,489.85,495.16,487.01,485.87,514.57,563.91,962.73,924.79,998.42,1008.04,1023.15,1028.43,1001.76,975.38,957.47
"World","Wind",30924.36,37720.86,52401.47,63369.07,84075.58,103212.16,129507.35,168882.28,216552.33,271723.32,342816.62,433770.35,525986.09,636719.38,712055.95,828041.69,952814.29,1131687.91,1258357.71,1413286.78,1588586.04
"World","Onshore wind energy",30807.48,37564.88,51960.05,62527.09,82840.35,101770.41,127826.15,166589.10,213180.76,267306.53,335266.15,422122.34,511407.97,616180.51,687373.91,791827.84,911230.03,1075035.57,1190323.85,1328418.31,1488471.96
"World","Offshore wind energy",116.88,155.99,441.41,841.98,1235.23,1441.75,1681.20,2293.18,3371.57,4416.79,7550.46,11648.01,14578.12,20538.87,24682.05,36213.85,41584.26,56652.34,68033.86,84868.47,100114.07
"World","Solar",1331.43,1700.33,1976.67,2400.09,3082.36,4409.87,6024.48,8120.56,12797.07,21011.79,33801.03,65624.02,101763.51,137605.35,192779.12,252378.75,325725.20,437320.49,561715.91,690309.79,843854.86
"World","Solar photovoltaic",805.43,1135.33,1407.67,1851.09,2494.36,3812.87,5473.48,7435.55,11897.92,20088.79,32147.76,62427.05,96293.70,131430.39,183651.07,242194.02,314579.53,425321.53,549682.10,676187.68,830741.44
"World","Concentrated solar power",526.00,565.00,569.00,549.00,588.00,597.00,551.00,685.01,899.15,923.00,1653.28,3196.96,5469.81,6174.96,9128.06,10184.74,11145.66,11998.96,12033.81,14122.11,13113.42
